  2.16070E+12  1.00000E+00  9.41301E+03  8.72746E+04
  2.16209E+12  1.00001E+00  1.05923E+04  8.33413E+04
  2.16348E+12  1.00001E+00  9.71452E+03  7.70658E+04
  2.16488E+12  1.00000E+00  9.04372E+03  7.68478E+04
  2.16628E+12  1.00000E+00  7.66291E+03  7.02318E+04
  2.16768E+12  1.00000E+00  6.14400E+03  5.70507E+04
  2.16908E+12  1.00000E+00  4.57947E+03  3.57081E+04
  2.17048E+12  1.00000E+00          NaN          NaN
  2.17189E+12  1.00000E+00          NaN  5.49536E+04
  2.17329E+12  1.00000E+00  8.44412E+03  4.77672E+04
  2.17470E+12  1.00000E+00  4.09600E+03          NaN
  2.17611E+12  1.00000E+00  4.09600E+03          NaN
  2.17752E+12  1.00000E+00  9.60597E+03  3.42696E+04
  2.17894E+12  1.00000E+00  1.08370E+04          NaN
  2.18036E+12  1.00000E+00  9.15893E+03          NaN
  2.18177E+12  1.00000E+00          NaN          NaN
  2.18319E+12  1.00000E+00  9.60597E+03          NaN
  2.18461E+12  1.00000E+00          NaN          NaN
  2.18604E+12  1.00000E+00          NaN          NaN
  2.18746E+12  1.00000E+00  5.01656E+03          NaN
  2.18889E+12  1.00000E+00  8.19200E+03          NaN
  2.19032E+12  1.00000E+00  8.68893E+03          NaN
  2.19175E+12  1.00000E+00  1.15852E+04          NaN
  2.19318E+12  1.00000E+00  1.22880E+04          NaN
  2.19462E+12  1.00000E+00  1.08370E+04          NaN
  2.19605E+12  1.00000E+00          NaN          NaN
  2.19749E+12  1.00000E+00          NaN          NaN
  2.19893E+12  1.00000E+00  5.79262E+03          NaN
  2.20038E+12  1.00000E+00  1.08370E+04          NaN
  2.20182E+12  1.00000E+00  1.08370E+04  2.83779E+04
  2.20327E+12  1.00000E+00  1.08370E+04  3.11942E+04
  2.20471E+12  1.00000E+00          NaN  3.88581E+04
  2.20616E+12  1.00000E+00  7.09448E+03  4.25669E+04
  2.20762E+12  1.00000E+00          NaN  5.58620E+04
