  1.10035E+05  2.57372E+19
  1.10504E+05  2.62575E+19
  1.10797E+05  2.65869E+19
  1.11083E+05  2.69013E+19
  1.11478E+05  2.73223E+19
  1.11992E+05  2.78403E+19
  1.12473E+05  2.83173E+19
  1.12913E+05  2.87926E+19
  1.13241E+05  2.91827E+19
  1.13613E+05  2.96565E+19
  1.13828E+05  2.99568E+19
  1.13975E+05  3.01741E+19
  1.14183E+05  3.05006E+19
  1.14417E+05  3.08964E+19
  1.14674E+05  3.13608E+19
  1.14957E+05  3.19059E+19
  1.15266E+05  3.25436E+19
  1.15601E+05  3.32900E+19
  1.15966E+05  3.41524E+19
  1.16258E+05  3.48569E+19
  1.16570E+05  3.56244E+19
  1.16936E+05  3.65380E+19
  1.17252E+05  3.73599E+19
  1.17700E+05  3.85591E+19
  1.18161E+05  3.98324E+19
  1.18655E+05  4.11232E+19
  1.19059E+05  4.20412E+19
  1.19386E+05  4.26512E+19
  1.19790E+05  4.32197E+19
  1.20204E+05  4.35934E+19
  1.20573E+05  4.37954E+19
  1.21032E+05  4.39582E+19
  1.21366E+05  4.40348E+19
  1.21655E+05  4.40775E+19
  1.22047E+05  4.41064E+19
  1.22406E+05  4.40900E+19
  1.22728E+05  4.39931E+19
  1.23065E+05  4.37901E+19
  1.23560E+05  4.33449E+19
  1.24062E+05  4.27407E+19
  1.24343E+05  4.23785E+19
  1.24654E+05  4.19943E+19
  1.25111E+05  4.14792E+19
  1.25602E+05  4.09681E+19
  1.26037E+05  4.04667E+19
  1.26397E+05  3.99482E+19
  1.26709E+05  3.94684E+19
  1.26980E+05  3.90518E+19
  1.27455E+05  3.83947E+19
  1.28003E+05  3.77886E+19
  1.28332E+05  3.74620E+19
  1.28601E+05  3.71959E+19
  1.29002E+05  3.68061E+19
  1.29153E+05  3.66634E+19
  1.29341E+05  3.64929E+19
  1.29653E+05  3.62141E+19
  1.29900E+05  3.60046E+19
  1.30139E+05  3.58243E+19
  1.30547E+05  3.55752E+19
  1.30974E+05  3.53875E+19
  1.31176E+05  3.53289E+19
  1.31468E+05  3.52774E+19
  1.31902E+05  3.52965E+19
  1.32125E+05  3.53394E+19
  1.32433E+05  3.54174E+19
  1.32804E+05  3.55100E+19
  1.33171E+05  3.55716E+19
  1.33658E+05  3.56595E+19
  1.34110E+05  3.58070E+19
  1.34483E+05  3.59785E+19
  1.34705E+05  3.61084E+19
  1.34968E+05  3.62848E+19
  1.35276E+05  3.65231E+19
  1.35415E+05  3.66452E+19
  1.35552E+05  3.67788E+19
  1.35735E+05  3.69881E+19
  1.35947E+05  3.72750E+19
  1.36189E+05  3.76488E+19
  1.36459E+05  3.81039E+19
  1.36751E+05  3.86016E+19
  1.37069E+05  3.91355E+19
  1.37416E+05  3.96845E+19
  1.37770E+05  4.02153E+19
  1.38044E+05  4.06306E+19
  1.38363E+05  4.11309E+19
  1.38677E+05  4.16397E+19
  1.38884E+05  4.19827E+19
  1.39206E+05  4.25294E+19
  1.39707E+05  4.33087E+19
  1.40006E+05  4.37139E+19
  1.40257E+05  4.40058E+19
  1.40664E+05  4.43655E+19
  1.40842E+05  4.44788E+19
  1.41021E+05  4.45633E+19
  1.41329E+05  4.46359E+19
  1.41669E+05  4.45970E+19
  1.41971E+05  4.44545E+19
  1.42264E+05  4.42292E+19
  1.42454E+05  4.40334E+19
  1.42749E+05  4.36644E+19
  1.43096E+05  4.31456E+19
  1.43428E+05  4.25486E+19
  1.43569E+05  4.22606E+19
  1.43750E+05  4.18633E+19
  1.44006E+05  4.12718E+19
  1.44248E+05  4.06974E+19
  1.44529E+05  4.00319E+19
  1.44862E+05  3.92674E+19
  1.45187E+05  3.85709E+19
  1.45573E+05  3.78370E+19
  1.45845E+05  3.73786E+19
  1.46181E+05  3.68919E+19
  1.46562E+05  3.64417E+19
  1.46913E+05  3.61180E+19
  1.47331E+05  3.58590E+19
  1.47691E+05  3.57381E+19
  1.47953E+05  3.57007E+19
  1.48179E+05  3.56926E+19
  1.48568E+05  3.56997E+19
  1.48957E+05  3.57388E+19
  1.49390E+05  3.58249E+19
  1.49702E+05  3.59350E+19
  1.50088E+05  3.61559E+19
  1.50422E+05  3.64035E+19
  1.50714E+05  3.66475E+19
  1.51046E+05  3.69477E+19
  1.51362E+05  3.72482E+19
  1.51550E+05  3.74319E+19
  1.51772E+05  3.76540E+19
  1.52070E+05  3.79554E+19
  1.52348E+05  3.82319E+19
  1.52625E+05  3.84942E+19
  1.52954E+05  3.87752E+19
  1.53124E+05  3.89030E+19
  1.53352E+05  3.90578E+19
  1.53724E+05  3.92715E+19
  1.54155E+05  3.94805E+19
  1.54579E+05  3.96382E+19
  1.54952E+05  3.97208E+19
  1.55286E+05  3.97584E+19
  1.55526E+05  3.97508E+19
  1.55790E+05  3.97095E+19
  1.55996E+05  3.96640E+19
  1.56251E+05  3.96043E+19
  1.56513E+05  3.95303E+19
  1.56718E+05  3.94656E+19
  1.56979E+05  3.93666E+19
  1.57177E+05  3.92679E+19
  1.57434E+05  3.91258E+19
  1.57801E+05  3.89184E+19
  1.58203E+05  3.87186E+19
  1.58565E+05  3.85799E+19
  1.58895E+05  3.84748E+19
  1.59182E+05  3.83931E+19
  1.59645E+05  3.82853E+19
  1.60192E+05  3.81773E+19
  1.60671E+05  3.81058E+19
  1.61008E+05  3.80805E+19
  1.61326E+05  3.80801E+19
  1.61574E+05  3.80963E+19
  1.61825E+05  3.81281E+19
  1.62066E+05  3.81670E+19
  1.62452E+05  3.82510E+19
  1.62806E+05  3.83774E+19
